Date	UserId	MixId
24/08/2012 18:42:15		3
24/08/2012 20:32:43		6
24/08/2012 22:16:04		6
24/08/2012 22:36:33		5
24/08/2012 22:37:06		5
24/08/2012 22:37:45		5
24/08/2012 22:38:02		5
31/08/2012 13:58:39		6
31/08/2012 14:31:22		19
31/08/2012 14:34:42		6
31/08/2012 14:35:12		6
31/08/2012 14:35:23		6
31/08/2012 14:37:43		19
31/08/2012 15:58:31		5
31/08/2012 18:05:22		19
01/09/2012 16:55:18		3
01/09/2012 18:06:43		19
02/09/2012 10:39:54		5
02/09/2012 10:40:25		5
02/09/2012 10:42:24		19
02/09/2012 10:42:42		5
02/09/2012 10:42:55		19
02/09/2012 10:46:05		5
02/09/2012 12:09:27		5
02/09/2012 12:10:07		5
02/09/2012 12:44:26		5
02/09/2012 20:37:01		5
02/09/2012 20:37:08		5
03/09/2012 06:30:18		5
03/09/2012 15:54:29		6
03/09/2012 15:54:55		6
03/09/2012 15:55:25		6
03/09/2012 15:55:55		3
03/09/2012 19:03:37		19
03/09/2012 19:04:32		19
08/09/2012 00:53:30		19
08/09/2012 00:55:36		6
08/09/2012 10:53:45		19
08/09/2012 16:47:21		6
10/09/2012 01:22:09		19
10/09/2012 17:10:24		19
10/09/2012 17:12:22		19
10/09/2012 20:28:49		6
10/09/2012 21:05:22		19
10/09/2012 21:51:32		5
10/09/2012 22:05:15		19
10/09/2012 22:39:20		5
10/09/2012 22:39:45		6
10/09/2012 22:50:00		6
10/09/2012 22:55:29		3
10/09/2012 23:00:35		19
10/09/2012 23:01:29		4
10/09/2012 23:12:32		5
10/09/2012 23:12:55		6
10/09/2012 23:13:14		6
10/09/2012 23:27:52		19
11/09/2012 06:36:07		19
11/09/2012 06:37:41		4
11/09/2012 06:49:22		19
11/09/2012 07:50:49		19
11/09/2012 07:51:00		4
11/09/2012 07:51:02		3
11/09/2012 08:19:44		6
11/09/2012 08:20:13		6
11/09/2012 08:20:15		6
11/09/2012 08:20:17		6
11/09/2012 08:20:20		6
11/09/2012 08:20:31		6
11/09/2012 08:20:36		6
11/09/2012 08:20:38		6
11/09/2012 08:20:48		6
11/09/2012 08:20:53		6
11/09/2012 08:21:21		6
11/09/2012 08:21:22		6
11/09/2012 08:21:23		6
11/09/2012 08:21:23		6
11/09/2012 08:21:23		6
11/09/2012 08:22:40		6
11/09/2012 08:29:36		4
11/09/2012 08:39:32		4
11/09/2012 09:50:54		3
11/09/2012 10:03:07		4
11/09/2012 10:46:43		3
11/09/2012 11:09:45		3
11/09/2012 11:52:14		20
11/09/2012 12:01:28		19
11/09/2012 12:01:35		5
11/09/2012 12:35:11		4
11/09/2012 13:42:28		21
11/09/2012 14:52:27		21
11/09/2012 15:01:55		21
11/09/2012 15:43:09		19
11/09/2012 15:44:59		3
11/09/2012 15:46:33		6
11/09/2012 15:46:41		5
11/09/2012 15:46:50		21
11/09/2012 15:48:18		5
11/09/2012 15:48:43		3
11/09/2012 15:50:32		19
11/09/2012 16:04:21		5
11/09/2012 17:14:06		21
11/09/2012 17:47:36		4
11/09/2012 17:54:46		4
11/09/2012 17:54:54		4
11/09/2012 17:55:06		4
11/09/2012 17:55:33		5
11/09/2012 19:06:33		19
11/09/2012 19:48:16		21
11/09/2012 19:48:24		21
11/09/2012 19:48:35		21
11/09/2012 19:51:04		19
11/09/2012 19:51:19		19
11/09/2012 20:08:05		3
11/09/2012 20:23:13		3
11/09/2012 21:12:11		3
11/09/2012 21:22:08		6
12/09/2012 00:15:37		21
12/09/2012 07:58:07		3
12/09/2012 08:41:10		3
12/09/2012 08:58:49		5
12/09/2012 08:58:55		5
12/09/2012 09:13:43		5
12/09/2012 11:51:47		21
12/09/2012 11:51:59		5
12/09/2012 12:14:03		6
12/09/2012 13:06:34		3
12/09/2012 14:08:34		21
12/09/2012 14:22:17		21
12/09/2012 14:22:50		20
12/09/2012 14:23:37		19
12/09/2012 14:29:28		21
12/09/2012 16:39:00		20
12/09/2012 16:42:51		19
12/09/2012 22:56:37		21
13/09/2012 04:14:39		19
13/09/2012 04:14:45		19
13/09/2012 08:53:07		28
13/09/2012 09:17:01		28
13/09/2012 09:18:18		19
13/09/2012 10:34:41		19
13/09/2012 10:36:19		28
13/09/2012 12:08:10		28
13/09/2012 13:59:06		5
13/09/2012 21:55:57		28
13/09/2012 23:16:27		28
13/09/2012 23:17:11		5
14/09/2012 07:56:08		21
14/09/2012 09:40:50		28
14/09/2012 09:41:31		28
14/09/2012 09:42:44		5
14/09/2012 09:43:55		6
14/09/2012 11:06:50		19
14/09/2012 13:11:51		28
14/09/2012 13:11:51		28
14/09/2012 13:11:52		28
14/09/2012 13:12:10		28
14/09/2012 13:12:17		28
14/09/2012 13:13:01		21
14/09/2012 13:15:14		28
14/09/2012 13:41:26		20
14/09/2012 15:47:15		28
14/09/2012 21:30:53		28
14/09/2012 21:30:54		28
14/09/2012 21:31:57		3
15/09/2012 08:30:36		19
15/09/2012 10:54:28		28
15/09/2012 11:20:47		28
15/09/2012 11:21:27		20
15/09/2012 11:23:48		20
15/09/2012 11:31:24		20
15/09/2012 12:28:14		28
15/09/2012 12:30:09		28
15/09/2012 12:43:31		3
15/09/2012 12:45:00		5
15/09/2012 12:45:32		6
15/09/2012 12:49:30		28
15/09/2012 13:02:18		5
15/09/2012 13:07:05		21
15/09/2012 13:11:01		28
15/09/2012 14:01:07		19
15/09/2012 14:13:39		6
15/09/2012 14:33:05		28
15/09/2012 15:14:18		31
15/09/2012 18:06:12		31
15/09/2012 18:09:34		31
15/09/2012 18:10:06		31
15/09/2012 18:10:13		21
15/09/2012 18:11:31		3
15/09/2012 18:17:57		31
15/09/2012 20:46:59		31
16/09/2012 08:02:47		31
16/09/2012 08:02:58		31
16/09/2012 08:03:05		31
16/09/2012 10:30:30		31
16/09/2012 12:30:59		31
16/09/2012 12:31:06		31
16/09/2012 14:19:58		31
16/09/2012 15:01:00		20
16/09/2012 15:44:02		31
16/09/2012 15:46:36		28
16/09/2012 16:02:28		31
16/09/2012 16:27:33		28
16/09/2012 19:12:57		31
16/09/2012 19:12:57		31
16/09/2012 21:49:00		31
16/09/2012 23:04:48		31
16/09/2012 23:06:22		31
17/09/2012 06:02:28		31
17/09/2012 06:02:36		31
17/09/2012 06:02:44		31
17/09/2012 06:03:04		31
17/09/2012 06:03:42		31
17/09/2012 06:03:43		31
17/09/2012 06:03:54		31
17/09/2012 06:17:14		3
17/09/2012 08:23:01		31
17/09/2012 10:39:06		21
17/09/2012 10:50:03		6
17/09/2012 11:56:24		19
17/09/2012 13:33:25		4
17/09/2012 13:33:34		3
17/09/2012 13:46:09		19
17/09/2012 13:46:15		20
17/09/2012 13:46:35		21
